region,name,loc,genre,star,difficulty,type,activeness,avail_people_lists[1],avail_people_lists[2],avail_people_lists[3],avail_people_lists[4],,,type,
강남,테마 팩토리,룸즈에이 강남점,?,4,5,2,2,2 people,3 people,4 people,,,,,
강남,D,에피소드 방탈출 강남점,액션,3.4,4,2,1,2 people,3 people,,,,,,
강남,이자카야 츠이오쿠,마스터키 강남점,감성,3.4,2,2,3,2 people,3 people,,,,,,
강남,엔제리오,키이스케이프 강남더오름점,?,4.5,4,2,2,2 people,3 people,4 people,,,,,
강남,타인은 지옥이다,셜록홈즈 강남2호점,스릴러,3.9,3,2,1,2 people,3 people,,,,,,
강남,NOMON : THE ORDEAL,황금열쇠 강남점(타임스퀘어),판타지,4.2,4,2,2,2 people,3 people,4 people,,,,,
강남,백설공주의 비밀,세븐클루스 2호점,19금,2.2,3,2,1,2 people,,,,,,,
강남,태초의 신부 : 이브 프로젝트,판타스트릭,잠입,4.5,4,3,2,3 people,4 people,,,,,,
강남,포레스트 (FORREST),제로월드 강남점,공포,4.4,4,2,2,2 people,3 people,4 people,,,,,
강남,사라진 왕관,미스터리 룸 이스케이프 강남점,판타지,2.3,3,3,2,2 people,,,,,,,
강남,그카지말라캤자나,키이스케이프 강남점,코미디,4.1,3,3,2,2 people,3 people,,,,,,
강남,클럽레벨스,라스트 이스케이프,음악,3.1,3,1,1,2 people,3 people,,,,,,
강남,ECHO (에코) - Beginning Dawn,마스터키 강남프라임점,액션,3.8,4,3,3,2 people,3 people,,,,,,
강남,도둑들,코드케이 강남점,추리,2.8,2,1,1,2 people,,,,,,,
강남,메르헨 수호대,마스터키 강남점,모험,3.7,4,1,3,2 people,3 people,4 people,,,,,
강남,러너웨이,싸인이스케이프 강남시티점,잠입,4.3,4,2,2,2 people,3 people,4 people,,,,,
강남,비서,라스트 이스케이프,미스테리,3.2,4,1,1,2 people,3 people,,,,,,
강남,프리즌 브레이크 2,코드이스케이프 가로수길점,범죄,2.7,3,2,2,2 people,3 people,4 people,,,,,
강남,죽음의 GP507,세븐클루스 2호점,미스테리,3,3,2,2,2 people,3 people,,,,,,
강남,주희다방,이스케이프 샾,드라마,3.5,3,2,1,2 people,3 people,4 people,,,,,
강남,크리쳐 - 신인류의 탄생,넥스트에디션 강남3호점,SF,3.5,3,2,1,2 people,3 people,4 people,,,,,
강남,이방인,도어 이스케이프 블루 신논현점,추리,4.1,3,2,3,3 people,4 people,,,,,,
강남,수취인초대,엑스케이프 강남점,스릴러,3.5,3,2,1,2 people,3 people,4 people,,,,,
강남,마지막 일주,넥스트에디션 강남3호점,판타지,3.2,2,2,1,2 people,3 people,,,,,,
강남,LOST KINGDOM 2 : 대탐험의 시작,비트포비아 강남 던전II,모험,4.2,3,2,2,2 people,3 people,4 people,,,,,
강남,엑소시즘 인 신사,시그널헌터 가로수길점,스릴러,2.3,3,1,1,2 people,,,,,,,
강남,EP1 : 시간이 멈춘 마을,포인트나인 강남1호점,?,4.1,5,2,1,2 people,3 people,,,,,,
강남,Hometown (홈타운),포인트나인 강남2호점,드라마,4.1,4,2,2,2 people,3 people,4 people,,,,,
강남,MAYDAY,비트포비아 강남 던전II,SF,4.2,3,3,2,2 people,3 people,,,,,,
강남,낯선 가족,이룸에이트,스릴러,3,4,1,1,3 people,4 people,,,,,,
강남,대호시장 살인사건,비트포비아 강남던전,추리,4.3,4,2,3,2 people,3 people,,,,,,
강남,무고,비밀의화원 리버타운점,공포,3.5,3,2,1,2 people,3 people,4 people,,,,,
강남,기억상실,코드케이 강남점,추리,2.6,3,1,1,2 people,3 people,,,,,,
강남,더 홀,세븐클루스 강남1호점,스릴러,2.3,2,1,1,2 people,,,,,,,
강남,아이엠유튜버,이룸에이트,?,3.7,4,2,1,2 people,3 people,4 people,,,,,
